candidate,ward,headline,link
Simon Taylor,Sutton,Posts sexual comments against women on social media,https://www.hulldailymail.co.uk/news/hull-east-yorkshire-news/call-reform-uk-suspend-hull-10925716
Sajjad Raja,Moortown,Chants genocidal slogans,https://www.thetimes.com/uk/politics/article/reform-candidate-investigated-river-to-the-sea-chant-nd5llwhgf
Iftikhar Butt Ahmed,Crumpsall,"Bullied, harassed, intimidated officers, and targeted a female councillor with misogynistic conduct.",https://www.slough.gov.uk/news/article/493/council-s-standards-committee-censures-councillor-iftakhar-ahmed
Iftikhar Butt Ahmed,Crumpsall,‘aggressive behaviour’ towards others and public accusations against officers that reflected ‘a clear lack of respect’.,https://www.maidenhead-advertiser.co.uk/news/council-and-politics/200543/slough-councillor-censured-for-bullying-and-intimidation-at-parking-meeting.html
Oliver Daniel William Freeston,Croft Baker,Trivialises mental health issues,https://www.grimsbytelegraph.co.uk/news/grimsby-news/cleethorpes-councillor-defends-mental-health-9929177
George Finch,Bede,Personal attacks on colleagues,https://www.coventrytelegraph.net/news/local-news/warwickshire-county-councils-reform-uk-33336430
George Finch,Bede,Breached code with child rape case leak,https://warwick.nub.news/news/local-news/investigation-finds-george-finch-could-have-jeopardised-child-rape-case-in-code-of-conduct-breach-290397
Robert Barnes,Hollinwood,Publicly Apologised After Abusive Campaign,https://neilwilby.com/2023/03/07/controversial-tory-councillor-back-in-the-headlines-again/
Paul Taylor,Waterhead,Likes Islamophobic posts,https://leftfootforward.org/2026/04/yet-another-reform-candidate-exposed-for-liking-islamophobic-posts/
Glenn Robert Whittaker,Earby & Coates,Faced resignation calls over“dirty tricks” leaflet ,http://www.thisislancashire.co.uk/news/4652399.pendle-lib-dems-resign-call-council-row/
Nathan Thomas McCollum,Waterside & Horsfield,Investigated over alleged street-fight links,https://www.lancashiretelegraph.co.uk/news/24077814.pendle-council-investigating-councillor-street-fight-claims/
Ben David Rowe,Ham,Reform Probes Candidate’s Alleged Hate Posts,https://www.bbc.co.uk/news/articles/c4g51jl2zzno
Neil John Hookway,Roche North & Rural,Told To Apologise Over Bullying Claim,https://www.echo-news.co.uk/news/15667439.councillor-cleared-of-bullying-on-facebook/
Anne-Marie Sonko,New Bilton,Makes fun of Urdu language ,https://warwick.nub.news/news/local-news/cabinet-member-at-wcc-belittles-herself-with-urdu-jibe-290904
Nathaniel Menday,Woodhouse,"described Nazis as ""real visionaries""",https://www.thetimes.com/uk/politics/article/reform-uk-local-election-candidates-vetting-sjq0g0lj5
Nathaniel Menday,Woodhouse,"described Nazis as ""real visionaries""",https://www.thelondoneconomic.com/politics/reform-uk-candidate-described-nazis-as-real-visionaries-405484/
Angela Mary Sandison,St Alphege with Monkspath & Hillfield,Blames mothers on their phones for kids autism,https://www.birminghammail.co.uk/news/midlands-news/solihull-councillor-resigns-childrens-committee-21671321
Paul Clarke,North Walworth,Distributes child abuse imagery,https://www.bbc.co.uk/news/uk-england-kent-65557543
William Jackson,St George's,Spouts racist hate,https://www.standard.co.uk/news/politics/conservative-candidate-racist-posts-harrow-council-b1279494.html
Jody Hanafin,Almond Hill,Submitted no declaration of interest,https://democracy.stevenage.gov.uk/mgListDeclarationsOfInterest.aspx?UID=265
Jan Bainbridge,Longmeadow,Funnels taxpayer money,https://eastherts.greenparty.org.uk/2026/02/20/green-councillors-call-for-standards-investigation-of-reform-spending/
Billy Jones,Eccleston,Bullies staff and abuses power,https://www.gazettelive.co.uk/news/teesside-news/redcar-cleveland-council-liberal-democrat-33848307
Mark Barry Johnson,Sutton North West,Assaulted political rivals,https://www.bbc.co.uk/news/uk-england-merseyside-20127301
Peter Marsh,Edgeley,Linked to extremist online content,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/greater-manchester-reform-candidates-posts-33835032
John Howard Kelly,Hazel Grove,Insults war veterans,https://stockport.nub.news/news/general-election-2024/outrage-at-reform-uk-candidates-falklands-war-comments-233520
Jacqui Harris,"Bishop's Itchington, Fenny Compton & Napton",Trivialises anti-semitism,https://leamingtonobserver.co.uk/news/anti-semitism-row-sees-councillor-suspended-from-conservative-party-11792/
Christopher Hudson,Brook,Bullied colleagues,https://www.eadt.co.uk/news/21605134.councillor-loses-committee-seat-bullying-probe/
Michael Peter Anthony Hadwen,Felixstowe Clifflands,Believes in conspiracies,https://kentlocal.co.uk/controversial-reform-uk-aide-exits-kent-county-hall-following-social-media-outcry/
Asa Downing,Gipping Valley,Spreads weird and dangerous conspiracy theories about the pandemic,https://www.eadt.co.uk/news/26019481.concerns-suffolk-reform-candidates-covid-19-posts/
Philip James Faircloth-Mutton,Stour Valley,Attacks pantomime dame,https://www.stowmarketmercury.co.uk/news/25494907.councillors-move-conservative-reform-unsurprising/
Axel Tye,Penshaw & Shiney Row,Promotes antisemitic content against Jews,https://www.thejc.com/news/politics/reform-candidate-mural-anti-jewish-dhjw7qfl
Martin Costello,"Badbury Park, Eldene & Liden",Spreads dangerous nonsence conspiracy theories about covid,https://www.swindonadvertiser.co.uk/news/26046331.reform-investigating-two-swindon-candidates/
Terrence David Reynolds,Queen's Park,Spreads racist hate,https://www.swindonadvertiser.co.uk/news/26036976.calls-oust-swindon-election-candidate-deeply-racist-posts/
Russ Cherry,Ockendon,Supports Britain First Harasser,https://www.yourthurrock.com/2025/05/10/reform-uk-councillors-face-allegations-of-sharing-far-right-and-islamophobic-content/
Richard Audubon Bingley,Stifford,"Has no convictions having stood for conservatives, Labour, UKIP and now Reform",http://www.guardian.co.uk/politics/2026/apr/15/tory-and-labour-councillor-richard-bingley-joins-reform-may-elections-thurrock
Nick Farmer,Ossett,Says offensive slurs against people with learning difficulties,https://www.bbc.com/news/uk-england-leeds-44068337
Matt Davis,Chingford Green,Linked to a charity fraud that squanders taxpayer millions,https://www.guardian-series.co.uk/news/9165147.waltham-forest-details-emerge-councils-ties-failed-charity/
Marion Fitzgerald,Hatch Lane & Highams Park North,Fails local children as govenor of a failing primary school,https://www.guardian-series.co.uk/news/12962525.party-defends-councillors-position-education-panel-damning-ofsted-report/
James Bembridge,West End,"Mocks war victims, hates the NHS and calls nurses fat",https://www.aol.com/news/reform-investigating-candidate-over-alleged-145448398.html
Natalie King,Carterton South,Abuses staff and colleagues with aggresive behaviour,https://www.witneygazette.co.uk/news/26014443.carterton---complaint-ex-lib-dem-councillor-upheld/
Anatoly Belnik,Camberley East,property developer who installed dangerous rope ladder fire escape because he preferred the way it looked,https://www.getsurrey.co.uk/news/surrey-news/surrey-property-developer-installed-inherently-32865594
Diane James,Cranleigh & Ewhurst,Tried to manipulate a planning decision for her own gain,https://www.getsurrey.co.uk/news/local-news/waverley-faces-official-complaint-4837883
Amar Brar,Laleham & Shepperton,Missed over 70% of council meetings,https://democracy.spelthorne.gov.uk/mgAttendance.aspx?DR=08%2F03%2F2023+-+31%2F08%2F2023&UID=666
Graham Ellwood,Waverley Eastern Villages,Used his own position as a councillor to skip the queue and get his road resurfaced,https://www.getsurrey.co.uk/news/surrey-news/merrow-councillors-cul-de-sac-15543506
Gary Markwell,Bersted,Wants to fire council staff working on accessibility,https://www.theargus.co.uk/news/24940184.reform-uk-councillor-says-county-council-cut-diversity-staff/
Lee Moffitt,Wigan Central,Lied about owning a company that ran HMOs while campaigning to reduce them,https://www.wigantoday.net/news/politics/wigan-reform-candidate-in-hmo-hypocrisy-row-5321624
John Anthony Sydney Halsall,Norreys,Doesn't declare conflicts of interest,https://www.bracknellnews.co.uk/news/18308887.wokingham-council-leader-john-halsall-faces-resignation-call/
Dave Evans,East Park,Drives untaxed cars on the road,https://www.bbc.co.uk/news/articles/crm8ek1gm8lo
